UnidadFiscalizableId,SiglaInstrumento,NombreRegion,NombreRegionProyecto
154,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
155,RCA,Región Metropolitana,Región Metropolitana
155,RCA,Región Metropolitana,Región Metropolitana
155,RCA,Región Metropolitana,Región Metropolitana
155,RCA,Región Metropolitana,Región Metropolitana
155,RCA,Región Metropolitana,Región Metropolitana
155,RCA,Región Metropolitana,Región Metropolitana
155,RCA,Región Metropolitana,Región Metropolitana
155,RCA,Región Metropolitana,Región Metropolitana
155,NE,NA,NA
155,PPDA,NA,NA
155,RSMA,NA,NA
155,RSMA,NA,NA
155,LEY,NA,NA
155,PPDA,NA,NA
156,RCA,Región Metropolitana,Región Metropolitana
156,RCA,Región Metropolitana,Región Metropolitana
156,RCA,Región Metropolitana,Región Metropolitana
156,RCA,Región Metropolitana,Región Metropolitana
156,RCA,Región Metropolitana,Región Metropolitana
156,NE,NA,NA
156,RSMA,NA,NA
156,LEY,NA,NA
157,RCA,Región Metropolitana,NA
158,RCA,Región Metropolitana,Región Metropolitana
158,RCA,Interregional,Interregional
158,RCA,Región Metropolitana,Región Metropolitana
158,RCA,Región Metropolitana,Región Metropolitana
160,RCA,NA,NA
161,RCA,Región Metropolitana,Región Metropolitana
162,RCA,Región Metropolitana,Región Metropolitana
162,RCA,Región Metropolitana,Región Metropolitana
162,NE,NA,NA
163,RCA,Interregional,Interregional
163,RCA,Interregional,Interregional
163,RCA,Interregional,Interregional
164,RCA,Región Metropolitana,Región Metropolitana
165,RCA,Región Metropolitana,Región Metropolitana
166,RCA,Interregional,Interregional
167,RCA,Región Metropolitana,NA
168,RCA,Región Metropolitana,Región Metropolitana
168,RCA,Región Metropolitana,Región Metropolitana
168,NE,NA,NA
168,PPDA,NA,NA
168,RCA,Región Metropolitana,Región Metropolitana
168,PPDA,NA,NA
169,RCA,Región del Libertador General Bernardo O'Higgins,NA
170,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
170,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
170,NE,NA,NA
170,PPDA,NA,NA
171,RCA,NA,NA
172,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
172,RCA,Región del Libertador General Bernardo O'Higgins,NA
173,RCA,Región del Libertador General Bernardo O'Higgins,NA
174,RCA,Región del Libertador General Bernardo O'Higgins,NA
175,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
176,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
177,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
178,RCA,Región del Libertador General Bernardo O'Higgins,NA
179,RCA,Región del Libertador General Bernardo O'Higgins,NA
179,RCA,Región del Libertador General Bernardo O'Higgins,NA
179,RCA,Región del Libertador General Bernardo O'Higgins,NA
180,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
180,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
181,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
182,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
182,NE,NA,NA
182,RCA,Región del Libertador General Bernardo O'Higgins,NA
183,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
183,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
184,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
184,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
184,NE,NA,NA
185,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
185,RCA,Región del Libertador General Bernardo O'Higgins,NA
187,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
187,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
187,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
187,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
